"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"BestSelf Behavioral Health, Inc.","50250","255 Delaware Ave","Buffalo","Erie","NY","14202","2017","Abbott Corners Addiction Srvs OCCBHC","53769","Erie","3176 Abbott Rd","Orchard Park","NY","14127","1069","Shannon Dunn","sdunn@bestselfwny.org","7168222117","2234","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","2101 Spruce Street","North Collins","14111","Erie"
"BestSelf Behavioral Health, Inc.","50250","255 Delaware Ave","Buffalo","Erie","NY","14202","2017","Lower West Side Addictions Srvs OCCBHC","53768","Erie","951-955 Niagara St","Buffalo","NY","14213","2116","Philip Santiago","psantiago@bestselfwny.org","7168420440","1202","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","7168420440","1491","Y","","Y","OMH Hosted","","","254 Franklin Street","Buffalo","14202","Erie"
"BestSelf Behavioral Health, Inc.","50250","255 Delaware Ave","Buffalo","Erie","NY","14202","2017","Palmerton Place RR","53613","Erie","920 Harlem Rd","West Seneca","NY","14224","1008","Marsha Tabb","mtabb@bestselfwny.org","7168210391","1338","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"BestSelf Behavioral Health, Inc.","50250","255 Delaware Ave","Buffalo","Erie","NY","14202","2017","Promise House RR","53615","Erie","920 Harlem Rd","West Seneca","NY","14224","1008","Marsha Tabb","mtabb@bestselfwny.org","7168210391","1338","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"BestSelf Behavioral Health, Inc.","50250","255 Delaware Ave","Buffalo","Erie","NY","14202","2017","Renaissance Adctn Srvcs Inc(RASI) RRSY","53614","Erie","920 Harlem Rd","West Seneca","NY","14224","1008","Heather McGee","hmcgee@bestselfwny.org","7168210391","324","Residential Services","Residential Rehab for Youth","","","","","","","","","","","",""
"BestSelf Behavioral Health, Inc.","50250","255 Delaware Ave","Buffalo","Erie","NY","14202","2017","The Light House-Womens Res Tx Prog SRR","53458","Erie","232-262 Hempstead Ave","Buffalo","NY","14215","","Dominique Barker","dbarker@bestselfwny.org","7168317877","1380","Residential Services","820 Stabil Rehab Reintegration","","","Y","","","","Y","","","","",""
"Brooks-TLC Hospital System, Inc.","49960","529 Central Ave","Dunkirk","Chautauqua","NY","14048","","Brooks-TLC Hospital System, Inc  OP 1","53229","Erie","7020 Erie Rd","Derby","NY","14047","9306","Michelle Crandall","mcrandall@tlchealth.org","7169470316","1104","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Casa Di Vita by Caz Recovery RRi","53573","Erie","200 Albany St","Buffalo","NY","14213","","Ms. Kelsey Lennertz CASAC","klennertz@cazenoviarecovery.org","7168222108","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Cazenovia Manor by Caz Recovery RRh","53077","Erie","486 N Legion Dr","Buffalo","NY","14210","2341","Ms. Debra Cannon CASAC","dcannon@cazenoviarecovery.org","7168228932","15","Residential Services","820 Residential Rehabilitation","7168524331","204","Y","","","","","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Step Toward Success (EC) by CazRec RRi","53812","Erie","2671 Main St","Buffalo","NY","14214","","Mr. Greg Sykes CASAC","gsykes@cazenoviarecovery.org","7168947274","","Residential Services","820 Residential Reintegration","","","","","","","Y","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Step Toward Success (NC) by CazRec RRi","53813","Erie","2671 Main St","Buffalo","NY","14214","","Mr. Greg Sykes CASAC","gsykes@cazenoviarecovery.org","7162826228","","Residential Services","820 Residential Reintegration","","","","","","","Y","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Turning Point House by CazRecovery RRh","53246","Erie","9126 Sandrock Rd","Eden","NY","14057","9526","Renee Banach","rbanach@cazenoviarecovery.org","7169924972","11","Residential Services","820 Residential Rehabilitation","7168524331","204","Y","","","","","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Unity House by Caz Recovery RRi","53574","Erie","923 Sycamore St","Buffalo","NY","14212","","Ms. Tess Eller CASAC","teller@cazenoviarecovery.org","7168844952","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Community Action Org of Western NY","46","45 Jewett Avenue","Buffalo","Erie","NY","14214","","DART Program OTP","13","Erie","1237 Main St","Buffalo","NY","14209","2111","Mrs. Cynthia Smith","csmith@caowny.org","7168849101","3015","Opioid Treatment","Opioid Outpatient Treatment","7168849101","3015","","","","","","","","","",""
"EHS, Inc.","38260","206 S Elmwood Ave","Buffalo","Erie","NY","14201","2398","EHS, Inc. OP","52843","Erie","206 S Elmwood Ave","Buffalo","NY","14201","","Mrs. Tangela Bogan Watson","twatson-bogan@evergreenhs.org","7168472441","","Outpatient Services","Outpatient Clinic","","","Y","","","","","Y","","","",""
"Endeavor Health Services","50230","1526 Walden Ave","Cheektowaga","Erie","NY","14225","4985","Endeavor Health Services OCCBHC","53777","Erie","1131 Broadway","Buffalo","NY","14212","1501","Mr. Scott Morton","smorton@ehsny.org","7168956700","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","","","",""
"Endeavor Health Services","50230","1526 Walden Ave","Cheektowaga","Erie","NY","14225","4985","Endeavor Health Services OCCBHC 1","53767","Erie","1526 Walden Ave","Cheektowaga","NY","14225","4965","Amanda Bartz","abartz@ehsny.org","7168956700","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","125 Martin Road","Lackawanna","14218","Erie"
"Endeavor Health Services","50230","1526 Walden Ave","Cheektowaga","Erie","NY","14225","4985","Endeavor Health Services OCCBHC 1","53767","Erie","1526 Walden Ave","Cheektowaga","NY","14225","4965","Amanda Bartz","abartz@ehsny.org","7168956700","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","463 William Street","Buffalo","14204","Erie"
"Endeavor Health Services","50230","1526 Walden Ave","Cheektowaga","Erie","NY","14225","4985","Endeavor Health Services OCCBHC 1","53767","Erie","1526 Walden Ave","Cheektowaga","NY","14225","4965","Amanda Bartz","abartz@ehsny.org","7168956700","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","6350 Main Street","Williamsville","14221","Erie"
"Erie County Medical Center Corporation","85150","462 Grider St","Buffalo","Erie","NY","14215","3021","Erie County Medical Center Corp MMD","50276","Erie","462 Grider St","Buffalo","NY","14215","3021","Mrs. Jennifer L Barry","jbarry@ecmc.edu","7168984576","","Crisis Services","Medical Managed Detoxification","7168986629","","","","","","","","","","",""
"Erie County Medical Center Corporation","85150","462 Grider St","Buffalo","Erie","NY","14215","3021","Erie County Medical Center Corp OP","50278","Erie","1285 Main St","Buffalo","NY","14209","1911","Mrs. Michelle Marshall CASAC","mmarshax@ecmc.edu","7168834571","","Outpatient Services","Outpatient Clinic","7169617018","","Y","","","","","","","","",""
"Erie County Medical Center Corporation","85150","462 Grider St","Buffalo","Erie","NY","14215","3021","Erie County Medical Center IP","50277","Erie","462 Grider St","Buffalo","NY","14215","3021","Mrs. Jennifer L Barry","jbarry@ecmc.edu","7168985764","","Inpatient Treatment Services","Inpatient Rehabilitation","","","","","","","","","","","",""
"Erie County Medical Center Corporation","85150","462 Grider St","Buffalo","Erie","NY","14215","3021","Northern Erie Clinical Services OP","50282","Erie","2005 Sheridan Dr","Tonawanda","NY","14223","1222","Mrs. Michelle Marshall CASAC","mmarshax@ecmc.edu","7168745536","","Outpatient Services","Outpatient Clinic","7168981808","","Y","","","","","","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Bailey Recovery Center OP","50031","Erie","3020 Bailey Ave","Buffalo","NY","14215","","Christian Bell","cbell@horizon-health.org","7168333622","","Outpatient Services","Outpatient Clinic","7168333622","","Y","","","OMH Hosted","","Y","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Boulevard Recovery Center OP","50029","Erie","1370 Niagara Falls Blvd","Tonawanda","NY","14150","","Sara Johnson","sarajohnson@horizon-health.org","7168333708","","Outpatient Services","Outpatient Clinic","7168333708","","Y","","","OMH Hosted","","Y","55 Dodge Road ","Getzville","14068","Erie"
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Boulevard Recovery Center OP","50029","Erie","1370 Niagara Falls Blvd","Tonawanda","NY","14150","","Sara Johnson","sarajohnson@horizon-health.org","7168333708","","Outpatient Services","Outpatient Clinic","7168333708","","Y","","","OMH Hosted","","Y","100 Niagara Street","Tonawanda","14150","Erie"
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","East Amherst Family Recovery Cntr OP","52529","Erie","6495 Transit Rd","East Amherst","NY","14051","","Michelle Reggie","mreggie@horizon-health.org","7164188531","","Outpatient Services","Outpatient Clinic","7164188531","","Y","","","","","Y","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Horizon Health Services, Inc. OP","51197","Erie","699 Hertel Ave","Buffalo","NY","14207","","Amanda Madding","amadding@horizon-health.org","7168311977","","Outpatient Services","Outpatient Clinic","7168311977","","Y","","","OMH Hosted","","Y","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Horizon Health Services, Inc. OP 1","51198","Erie","77 Broadway St","Buffalo","NY","14203","","Rachel Kocur","rkocur@horizon-health.org","7168346401","","Outpatient Services","Outpatient Clinic","7168346401","","Y","","","","","Y","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Horizon Health Services, Inc. OP 2","52617","Erie","3345 Southwestern Blvd","Orchard Park","NY","14127","","Ms. Marisa Shepherd","mshepherd@horizon-health.org","7166626802","","Outpatient Services","Outpatient Clinic","7166626802","","Y","","","","","Y","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Union Losson Recovery Center OP","52214","Erie","2563 Union Rd","Cheektowaga","NY","14227","","Lynlee Hochrad","lhochrad@horizon-health.org","7166687622","","Outpatient Services","Outpatient Clinic","7166687622","","Y","","","","","Y","","","",""
"Horizon Village, Inc","25820","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Terrace House MSW-IP","52730","Erie","291 Elm St","Buffalo","NY","14203","","Karen Hrycych","khrycych@horizon-health.org","7168542444","","Crisis Services","Med Sup Withdrawal - Inpatient","7168311800","","Y","","","","","Y","","","",""
"Horizon Village, Inc","25820","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Terrace House RS","53484","Erie","291 Elm St","Buffalo","NY","14203","","Nicholas Hoffman","nhoffman@horizon-health.org","7168542444","","Residential Services","820 Residential Stabilization","7168311800","","Y","","","","","Y","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. OP 1","52766","Erie","254 Virginia St","Buffalo","NY","14201","","Mrs. Elizabeth Smith CASAC","esmith@hubwny.org","7167684040","107","Outpatient Services","Outpatient Clinic","7167684040","202","Y","","","Mental Health","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","PROMESA, Inc. OTP 2","53751","Erie","254 Virginia St","Buffalo","NY","14201","","Mrs. Elizabeth Smith CASAC","esmith@hubwny.org","7167684040","","Opioid Treatment","Opioid Outpatient Treatment","7167684040","","Y","","","Mental Health","","","","","",""
"Sisters of Charity Hospital of Buffalo","81820","2157 Main St","Buffalo","Erie","NY","14214","","Sisters Health Center Amherst OP","51018","Erie","210 John Glenn Dr","Amherst","NY","14228","2213","Ann Marie Bauer","abauer4@chsbuffalo.org","7168621330","","Outpatient Services","Outpatient Clinic","7168622059","","Y","","","","","","","","",""
"Sisters of Charity Hospital of Buffalo","81820","2157 Main St","Buffalo","Erie","NY","14214","","Sisters Health Center Amherst OTP","53282","Erie","210 John Glenn Dr","Amherst","NY","14228","2213","Ann Marie Bauer","abauer4@chsbuffalo.org","7168622012","","Opioid Treatment","Opioid Outpatient Treatment","7168622059","","Y","","","","","","","","",""
"Sisters of Charity Hospital of Buffalo","81820","2157 Main St","Buffalo","Erie","NY","14214","","Sisters of Charity Hospital Buffalo IP","53823","Erie","2605 Harlem Rd","Cheektowaga","NY","14225","","Heather Loomis","jburdo@chsbuffalo.org","7162982127","","Inpatient Treatment Services","Inpatient Rehabilitation","","","","","","","","","","","",""
"Sisters of Charity Hospital of Buffalo","81820","2157 Main St","Buffalo","Erie","NY","14214","","Sisters of Charity Hospital OTP","409","Erie","158 Holden St","Buffalo","NY","14214","","Ann Marie Bauer","hloomis@chsbuffalo.org","7168622012","","Opioid Treatment","Opioid Outpatient Treatment","7168621330","","Y","","","","","","","","",""
"Sisters of Charity Hospital of Buffalo","81820","2157 Main St","Buffalo","Erie","NY","14214","","STAR St. Vincent OP","51564","Erie","1500 Broadway","Buffalo","NY","14212","1845","Ann Marie Bauer","abauer4@chsbuffalo.org","7168621330","","Outpatient Services","Outpatient Clinic","7168622059","","Y","","","","","","","","",""
"Spectrum Human Services","50240","227 Thorn Ave","Orchard Park","Erie","NY","14127","0631","New Alternatives OCCBHC","53778","Erie","1280 Main St","Buffalo","NY","14209","1912","Samantha Olrogg","olroggs@shswny.org","7168845797","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","","","",""
"Spectrum Human Services","50240","227 Thorn Ave","Orchard Park","Erie","NY","14127","0631","South Buffalo Counseling Center OCCBHC","53780","Erie","2412 Seneca St","Buffalo","NY","14210","2662","Mr. Eric Dryja","Dryjae@shswny.org","7168280560","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","","","",""
"Spectrum Human Services","50240","227 Thorn Ave","Orchard Park","Erie","NY","14127","0631","Spectrum Human Services OCCBHC 2","53779","Erie","326 Orchard Park Rd","West Seneca","NY","14224","2635","Samantha Olrogg","olroggs@shswny.org","7168280560","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","27 Franklin Street","Springville","14141","Erie"
"Stutzman Addiction Treatment Center","90001","360 Forest Ave","Buffalo","Erie","NY","14213","","Stutzman ATC IP","50719","Erie","360 Forest Ave","Buffalo","NY","14213","1205","Mr. Robert Chapman","Robert.Chapman@oasas.ny.gov","7168824900","","Inpatient Treatment Services","Inpatient Rehabilitation","7168824906","","Y","","Y","","","","","","",""
"St. Joseph's Addiction Treatment & Rec","35160","159 Glenwood Dr","Saranac Lake","Franklin","NY","12983","2385","Ticonderoga Chemical Dependence OP","50173","Essex","50 Montcalm St","Ticonderoga","NY","12883","","Mr. Brandon Titus CASAC","btitus@stjoestreatment.org","5185857934","4001","Outpatient Services","Outpatient Clinic","5185857934","4001","Y","","Y","","","","1703 Front Street","Keeseville","12944","Essex"
"North Star Industries","40410","31 6th Street","Malone","Franklin","NY","12953","","North Star Industries OCCBHC","53770","Franklin","31 6th St","Malone","NY","12953","","Kati Jock","katijock@citizenadvocates.net","5184879830","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","70 Edgewood Road","Saranac Lake","12983","Franklin"
"North Star Industries","40410","31 6th Street","Malone","Franklin","NY","12953","","North Star Industries OCCBHC","53770","Franklin","31 6th St","Malone","NY","12953","","Kati Jock","katijock@citizenadvocates.net","5184879830","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","7 Stetson Road","Tupper Lake","12986","Franklin"
"North Star Industries","40410","31 6th Street","Malone","Franklin","NY","12953","","North Star Industries OCCBHC","53770","Franklin","31 6th St","Malone","NY","12953","","Kati Jock","katijock@citizenadvocates.net","5184879830","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","NYS Route 30 at Elm Lake Road","Speculator","12164","Hamilton"
"North Star Industries","40410","31 6th Street","Malone","Franklin","NY","12953","","North Star Industries OCCBHC","53770","Franklin","31 6th St","Malone","NY","12953","","Kati Jock","katijock@citizenadvocates.net","5184879830","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","Y","","","OMH Hosted","","","143 White Birch Road","Indian Lake","12842","Hamilton"
"Saint Regis Mohawk Tribe/Health Servcs","22290","404 State Route 37","Akwesasne","Franklin","NY","13655","3109","Alcohol/Chemical Dependency Program OP","5266","Franklin","404 State Route 37","Akwesasne","NY","13655","3109","Mrs. Connie Thompson CASAC","connie.thompson@srmt-nsn.gov","5183583141","160","Outpatient Services","Outpatient Clinic","5183583145","","Y","","","","","","","","",""
"Saint Regis Mohawk Tribe/Health Servcs","22290","404 State Route 37","Akwesasne","Franklin","NY","13655","3109","Saint Regis Mohawk Tribe IP","50779","Franklin","25 Saint Regis Rd","Hogansburg","NY","13655","","Mrs. Connie Thompson CASAC","connie.thompson@srmt-nsn.gov","5183582223","101","Inpatient Treatment Services","Inpatient Rehabilitation","5183583145","","","","","","","","","","",""
"St. Joseph's Addiction Treatment & Rec","35160","159 Glenwood Dr","Saranac Lake","Franklin","NY","12983","2385","Chemical Dependence Rehab IP","50169","Franklin","159 Glenwood Dr","Saranac Lake","NY","12983","2385","Mrs. Tammy Landerway CASAC","tlanderway@stjoestreatment.org","5188913950","","Inpatient Treatment Services","Inpatient Rehabilitation","5188913801","","Y","","","","","","","","",""
"St. Joseph's Addiction Treatment & Rec","35160","159 Glenwood Dr","Saranac Lake","Franklin","NY","12983","2385","Col. C. David Merkel, MD Veterans' SRR","53046","Franklin","444 Kiwassa Lake Rd","Saranac Lake","NY","12983","8340","Mr. Jeremy Baumann CASAC","jbaumann@stjoestreatment.org","5188913801","1507","Residential Services","820 Stabil Rehab Reintegration","5188913950","","Y","","","","","","","","",""
"St. Joseph's Addiction Treatment & Rec","35160","159 Glenwood Dr","Saranac Lake","Franklin","NY","12983","2385","Robert R. Reiss Comm Srvcs Ctr MSW-IP","53570","Franklin","50 John Munn Rd","Saranac Lake","NY","12983","1341","Mr. Sam Hall CASAC","shall@stjoestreatment.org","5188913801","150","Crisis Services","Med Sup Withdrawal - Inpatient","5188913950","","","","","","","","","","",""
"St. Joseph's Addiction Treatment & Rec","35160","159 Glenwood Dr","Saranac Lake","Franklin","NY","12983","2385","Robert R. Reiss Comm Svcs Ctr OP","50171","Franklin","50 John Munn Rd","Saranac Lake","NY","12983","","Mr. Brandon Titus CASAC","btitus@stjoestreatment.org","5188913801","","Outpatient Services","Outpatient Clinic","5184836566","","Y","Y","Y","","","","386 River Road","Lake Placid","12946","Essex"
"St. Joseph's Addiction Treatment & Rec","35160","159 Glenwood Dr","Saranac Lake","Franklin","NY","12983","2385","St. Joseph's Addiction Trt & Rec OP","50170","Franklin","458 E Main St","Malone","NY","12953","2129","Mr. Brandon Titus CASAC","btitus@stjoestreatment.org","5184836566","","Outpatient Services","Outpatient Clinic","5188913801","","Y","","Y","","","","","","",""
"Fulton Friendship House, Inc.","12190","18 Cayadutta St","Gloversville","Fulton","NY","12078","","Victorian Manor RRi","53805","Fulton","8-10 First Ave","Gloversville","NY","12078","","Ms. Victoria DeGiulio CASAC","vdegiulio@fultonfh.com","5187255646","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Batavia Recovery Center OP","52225","Genesee","314 Ellicott St","Batavia","NY","14020","","Lisa Glow","lglow@horizon-health.org","5858150247","","Outpatient Services","Outpatient Clinic","5858150247","","Y","","","","","Y","","","",""
"UConnectCare, Inc.","38100","430 E Main St","Batavia","Genesee","NY","14020","","UConnectCare, Inc. MSW-IP","53600","Genesee","424 E Main St","Batavia","NY","14020","","Ms. Allison Parry-Gurak","aparry-gurak@Uconnectcare.org","5853318737","","Crisis Services","Med Sup Withdrawal - Inpatient","","","","","","","","","","","",""
"UConnectCare, Inc.","38100","430 E Main St","Batavia","Genesee","NY","14020","","UConnectCare, Inc. OP","50546","Genesee","430 E Main St","Batavia","NY","14020","","Mrs. Elizabeth Riter","smurphy@Uconnectcare.org","5853431124","","Outpatient Services","Outpatient Clinic","5853431124","","Y","","Y","","","","","","",""
"UConnectCare, Inc.","38100","430 E Main St","Batavia","Genesee","NY","14020","","UConnectCare, Inc. OTP","53610","Genesee","430 E Main St","Batavia","NY","14020","","Ms. Shannon Murphy CASAC","smurphy@Uconnectcare.org","5858151836","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","Y","","","","","","",""
"UConnectCare, Inc.","38100","430 E Main St","Batavia","Genesee","NY","14020","","UConnectCare, Inc. SL","51739","Genesee","430 E Main St","Batavia","NY","14020","","Ms. Allison Parry-Gurak","aparry-gurak@Uconnectcare.org","5853438330","","Residential Services","Supportive Living","5853438330","","","","","","","","","","",""
"UConnectCare, Inc.","38100","430 E Main St","Batavia","Genesee","NY","14020","","UConnectCare, Inc. SRR","53862","Genesee","424 E Main St","Batavia","NY","14020","","Ms. Allison Parry-Gurak","aparry-gurak@Uconnectcare.org","5853438330","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"United Memorial Medical Center","82230","127 North St","Batavia","Genesee","NY","14020","1631","Hope Haven IP","50957","Genesee","16 Bank St","Batavia","NY","14020","2250","Kate Gregory","katelyn.gregory@rochesterregional.org","5856225953","","Inpatient Treatment Services","Inpatient Rehabilitation","5856225953","","Y","","","","","Y","","","",""
"Twin County Recovery Services, Inc.","35010","350 Power Ave","Hudson","Columbia","NY","12534","","Riverside Residential RRi","53635","Greene","428 W Main St","Catskill","NY","12414","","Renee Pine","reneep@twincountyrecoveryservices.org","5189432744","3528","Residential Services","820 Residential Reintegration","","","Y","","","","Y","","","","",""
"Twin County Recovery Services, Inc.","35010","350 Power Ave","Hudson","Columbia","NY","12534","","Twin County Recovery Services, Inc OP","6865","Greene","428 W Main St","Catskill","NY","12414","","Nicole Arico","nicolea@twincountyrecoveryservices.org","5189432036","3314","Outpatient Services","Outpatient Clinic","5189432036","3314","Y","","","","","","","","",""
"Beacon Center","32812","3354 Sheridan Dr","Amherst","Erie","NY","14226","","Albert O. Nichols House RRi","53239","Herkimer","201 King St","Herkimer","NY","13350","2409","Mrs. Helen Burdick","hburdick@beaconcenter.net","7168311937","137","Residential Services","820 Residential Reintegration","","","Y","","","","","","","","",""
"Beacon Center","32812","3354 Sheridan Dr","Amherst","Erie","NY","14226","","Beacon Center OP 4","52112","Herkimer","210 S Main St","Herkimer","NY","13350","2375","Mrs. Helen Burdick","hburdick@beaconcenter.net","3157170189","137","Outpatient Services","Outpatient Clinic","3157170189","115","Y","","","","","","","","",""
"Credo Community Ctr/Trmt of Addictions","41270","595 W Main St","Watertown","Jefferson","NY","13601","","Credo Comm Ctr/Trmt of Addictions RRi","53659","Jefferson","417 Washington St","Watertown","NY","13601","","Mr. John Breen","johnb@credocc.com","3157883833","4675","Residential Services","820 Residential Reintegration","","","Y","","","","","","","","",""
"Credo Community Ctr/Trmt of Addictions","41270","595 W Main St","Watertown","Jefferson","NY","13601","","Credo Comm Ctr/Trmt of Addictions RRi2","53660","Jefferson","138 Winthrop St","Watertown","NY","13601","","Robert Mullin","robertm@credocc.com","3157886881","4700","Residential Services","820 Residential Reintegration","","","Y","","","","","","","","",""
"Credo Community Ctr/Trmt of Addictions","41270","595 W Main St","Watertown","Jefferson","NY","13601","","Credo Community Center OP","4986","Jefferson","595 W Main St","Watertown","NY","13601","1335","Randi Forbes","randif@credocc.com","3157881530","4585","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","7714 Number Three Road","Lowville","13367","Lewis"
"Credo Community Ctr/Trmt of Addictions","41270","595 W Main St","Watertown","Jefferson","NY","13601","","Credo Community Center OTP","52964","Jefferson","595 W Main St","Watertown","NY","13601","1335","Randi Forbes","randif@credocc.com","3157881530","4589","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Credo Community Ctr/Trmt of Addictions","41270","595 W Main St","Watertown","Jefferson","NY","13601","","Credo Community Center RRSY","1347","Jefferson","24180 County Route 16","Evans Mills","NY","13637","3127","Mr. Craig Frederick","craigf@credocc.com","3157783632","4736","Residential Services","Residential Rehab for Youth","","","Y","","","","","","","","",""
"Credo Community Ctr/Trmt of Addictions","41270","595 W Main St","Watertown","Jefferson","NY","13601","","Patricia Pond Hinckley Women's Res RRi","53802","Jefferson","1130 State St","Watertown","NY","13601","","Ms. April Beamer-Breen","aprilb@credocc.com","3157791772","","Residential Services","820 Residential Reintegration","","","Y","","","","","","","","",""
"North Star Industries","40410","31 6th Street","Malone","Franklin","NY","12953","","North Star Industries OP","53826","Jefferson","650 State St","Watertown","NY","13601","","Jennifer Rowledge","jenniferrowledge@citizenadvocates.net","3152623073","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Samaritan Medical Center","15920","1575 Washington Street","Watertown","Jefferson","NY","13601","4066","Samaritan Med Cntr Adctn Srvcs OP","51705","Jefferson","1575 Washington St","Watertown","NY","13601","9371","Ms. Mary A Hughes-Hoistion LMSW","mhoistion@shsny.com","3157867332","","Outpatient Services","Outpatient Clinic","3157867332","","Y","","","","","","","","",""
"AAA Health, Inc.","43710","1090 Coney Island Avenue","Brooklyn","Kings","NY","11230","2341","AAA Health, Inc. OP","51953","Kings","1090 Coney Island Ave","Brooklyn","NY","11230","2341","Mrs. Olena Shutova CASAC","aaahealth@verizon.net","7184212101","","Outpatient Services","Outpatient Clinic","7184212101","","Y","","","","","","","","",""
"Addiction Care Interventions","11490","589 Rockaway Ave","Brooklyn","New York","NY","11212","5624","Addiction Care Interventions IP","51389","Kings","589 Rockaway Ave","Brooklyn","NY","11212","5624","Mrs. Shoshanna Bacquie LCSW","Sbacquie@acirehab.org","2122933000","","Inpatient Treatment Services","Inpatient Rehabilitation","9294756066","","Y","","","","","","","","",""
"Addiction Care Interventions","11490","589 Rockaway Ave","Brooklyn","New York","NY","11212","5624","Addiction Care Interventions MSW-IP","51656","Kings","589 Rockaway Ave","Brooklyn","NY","11212","5624","Mrs. Shoshanna Bacquie LCSW","Sbacquie@acirehab.org","9294756066","","Crisis Services","Med Sup Withdrawal - Inpatient","9294756066","","Y","","","","","","","","",""
